"state","State_name","Population","date","category","count","dataQualityGrade"
"ME","Maine *",1344212,2020-05-29,"posNeg",45706,"B"
"MI","Michigan ",9986857,2020-05-29,"posNeg",521607,"A+"
"MN","Minnesota ",5639632,2020-05-29,"posNeg",233873,"A"
"MO","Missouri *",6840439,2020-05-29,"posNeg",177850,"B"
"MS","Mississippi ",2976149,2020-05-29,"posNeg",166308,"A"
"NC","North Carolina ",10488084,2020-05-29,"posNeg",391231,"A"
"NH","New Hampshire *",1359711,2020-05-29,"posNeg",66862,"B"
"NJ","New Jersey ",8882190,2020-05-29,"posNeg",716411,"A+"
"NV","Nevada ",3080156,2020-05-29,"posNeg",134416,"A+"
"NY","New York ",19453561,2020-05-29,"posNeg",1944130,"A"
"OH","Ohio *",11689100,2020-05-29,"posNeg",369890,"B"
"OK","Oklahoma ",3956971,2020-05-29,"posNeg",187398,"A+"
"OR","Oregon ",4217737,2020-05-29,"posNeg",122681,"A+"
"PA","Pennsylvania ",12801989,2020-05-29,"posNeg",438309,"A+"
"PR","Puerto Rico *",2933408,2020-05-29,"posNeg",3647,"B"
"RI","Rhode Island ",1059361,2020-05-29,"posNeg",146355,"A+"
"SC","South Carolina ",5148714,2020-05-29,"posNeg",188257,"A"
"SD","South Dakota *",884659,2020-05-29,"posNeg",40682,"B"
"TN","Tennessee *",6829174,2020-05-29,"posNeg",421967,"B"
"TX","Texas *",28995881,2020-05-29,"posNeg",893275,"B"
"UT","Utah *",3205958,2020-05-29,"posNeg",205855,"B"
"VA","Virginia ",8535519,2020-05-29,"posNeg",298377,"A+"
"VT","Vermont *",623989,2020-05-29,"posNeg",31885,"B"
"WA","Washington *",7614893,2020-05-29,"posNeg",343091,"B"
"WI","Wisconsin ",5822434,2020-05-29,"posNeg",251295,"A+"
"WV","West Virginia *",1792147,2020-05-29,"posNeg",93377,"B"
"AK","Alaska ",731545,2020-05-28,"posNeg",47970,"A"
"AL","Alabama *",4903185,2020-05-28,"posNeg",200481,"B"
"AR","Arkansas ",3017804,2020-05-28,"posNeg",118902,"A"
"AZ","Arizona ",7278717,2020-05-28,"posNeg",202914,"A+"
"CA","California *",39512223,2020-05-28,"posNeg",1790559,"B"
"CO","Colorado ",5758736,2020-05-28,"posNeg",163123,"A"
"CT","Connecticut *",3565287,2020-05-28,"posNeg",235525,"B"
"DC","District of Columbia ",705749,2020-05-28,"posNeg",43514,"A+"
"DE","Delaware ",973764,2020-05-28,"posNeg",56801,"A"
"FL","Florida ",21477737,2020-05-28,"posNeg",951616,"A"
"GA","Georgia ",10617423,2020-05-28,"posNeg",444646,"A"
"GU","Guam *",167772,2020-05-28,"posNeg",5962,"B"
"IA","Iowa ",3155070,2020-05-28,"posNeg",142933,"A+"
"ID","Idaho ",1787065,2020-05-28,"posNeg",43875,"A"
"IL","Illinois ",16980127,2020-05-28,"posNeg",829966,"A"
"IN","Indiana ",6732219,2020-05-28,"posNeg",242287,"A+"
"KS","Kansas ",2913314,2020-05-28,"posNeg",84488,"A"
"KY","Kentucky ",4467673,2020-05-28,"posNeg",182101,"A"
"LA","Louisiana *",4648794,2020-05-28,"posNeg",355027,"B"
"MA","Massachusetts ",6892503,2020-05-28,"posNeg",562323,"A+"
"MD","Maryland *",6045680,2020-05-28,"posNeg",274858,"B"
"ME","Maine *",1344212,2020-05-28,"posNeg",45669,"B"
"MI","Michigan ",9986857,2020-05-28,"posNeg",504458,"A+"
"MN","Minnesota ",5639632,2020-05-28,"posNeg",225208,"A"
"MO","Missouri *",6840439,2020-05-28,"posNeg",171067,"B"
"MS","Mississippi ",2976149,2020-05-28,"posNeg",156497,"A"
"NC","North Carolina ",10488084,2020-05-28,"posNeg",375192,"A"
"NH","New Hampshire *",1359711,2020-05-28,"posNeg",65596,"B"
"NJ","New Jersey ",8882190,2020-05-28,"posNeg",685857,"A+"
"NV","Nevada ",3080156,2020-05-28,"posNeg",131190,"A+"
